{'time': 1.4589412212371826, 'x': -2.2049061714936946, 'y': -0.0429360316047116, 'z': 0.7498172908829028, 'yaw': 0.0368956461748762, 'velocity': 0.002142667872197117, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4729089736938477, 'x': -2.204895081004855, 'y': -0.042926568106019844, 'z': 0.7498224989701944, 'yaw': 0.036972150411668375, 'velocity': 0.001108383890374835, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4788918495178223, 'x': -2.2049043112223514, 'y': -0.04292694854538442, 'z': 0.7498293474513451, 'yaw': 0.03708516209404407, 'velocity': 0.0019221041701834457, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4928514957427979, 'x': -2.2048991549049486, 'y': -0.04294100056924009, 'z': 0.7498130781206808, 'yaw': 0.03683538824517605, 'velocity': 0.00221676942266795, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5028505325317383, 'x': -2.204880314217028, 'y': -0.04292297671617103, 'z': 0.749842734752163, 'yaw': 0.03712901331095251, 'velocity': 0.003949236674382824, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5128345489501953, 'x': -2.2049074301577716, 'y': -0.042931169316169485, 'z': 0.7498130725100807, 'yaw': 0.036985879563834534, 'velocity': 0.004108079979878593, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5227527618408203, 'x': -2.2048945702775304, 'y': -0.04290408681267918, 'z': 0.749834082202498, 'yaw': 0.03727190664142869, 'velocity': 0.0036911252624928924, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5327253341674805, 'x': -2.20489260522547, 'y': -0.04292505249285416, 'z': 0.7498228456828964, 'yaw': 0.03755699182595269, 'velocity': 0.0023933626007421097, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5426976680755615, 'x': -2.2048983686182977, 'y': -0.042938552824526154, 'z': 0.7498136587736487, 'yaw': 0.03751138787857824, 'velocity': 0.0019301709865802257, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.552670955657959, 'x': -2.204897085221636, 'y': -0.04293888605366182, 'z': 0.749830831804272, 'yaw': 0.03692064381230441, 'velocity': 0.0019189145562030815, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5626552104949951, 'x': -2.204948306486673, 'y': -0.043061519711143796, 'z': 0.7498451038119921, 'yaw': 0.034596135766611635, 'velocity': 0.01489337953906949, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5737431049346924, 'x': -2.2049110033588692, 'y': -0.04294799394941493, 'z': 0.7498262240438465, 'yaw': 0.03689826554743311, 'velocity': 0.013310912322747935, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.582721471786499, 'x': -2.2048837142694286, 'y': -0.04289591319009281, 'z': 0.7498388475676646, 'yaw': 0.03762841533420776, 'velocity': 0.007534056187536243, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5925970077514648, 'x': -2.204900906152894, 'y': -0.04292613226309401, 'z': 0.7498237870509935, 'yaw': 0.037524477131966306, 'velocity': 0.0042878896663915145, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6025245189666748, 'x': -2.2048739072448953, 'y': -0.04294063513321677, 'z': 0.7498426287072211, 'yaw': 0.03713400420700632, 'velocity': 0.004027621690390064, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6125361919403076, 'x': -2.2049084944483273, 'y': -0.042918947367410226, 'z': 0.7498435550822875, 'yaw': 0.037100968746411056, 'velocity': 0.004530103030631673, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6226797103881836, 'x': -2.2049217090957707, 'y': -0.04296314470825363, 'z': 0.7497961921936319, 'yaw': 0.036749392583268065, 'velocity': 0.007227234947619232, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6326279640197754, 'x': -2.2049151739270303, 'y': -0.042903003339783245, 'z': 0.7499608934855209, 'yaw': 0.03725253623815429, 'velocity': 0.01954460453033265, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6425974369049072, 'x': -2.204896805664943, 'y': -0.04292595591445228, 'z': 0.7498118844246362, 'yaw': 0.03727158599434206, 'velocity': 0.016925344929854286, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6526119709014893, 'x': -2.2048893079940153, 'y': -0.04294198716296972, 'z': 0.7498236135292905, 'yaw': 0.03681954711094542, 'velocity': 0.002120095270461669, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
