{'time': 1.5476112365722656, 'x': -2.0755802158875785, 'y': -0.03280371865844521, 'z': 0.7474432213013867, 'yaw': 0.04436469275983691, 'velocity': 0.004566171473196618, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.556612253189087, 'x': -2.0755820510324803, 'y': -0.032848758695093565, 'z': 0.7474969703061203, 'yaw': 0.04511805685373904, 'velocity': 0.0077934894049674, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.567556381225586, 'x': -2.07558197688803, 'y': -0.03279560173651826, 'z': 0.7474493931282213, 'yaw': 0.0446190981686153, 'velocity': 0.006518474430584574, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5775306224822998, 'x': -2.0755961432741312, 'y': -0.03282690099962254, 'z': 0.74746436258026, 'yaw': 0.04442749233492224, 'velocity': 0.0037572305019637586, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5875301361083984, 'x': -2.075568542749459, 'y': -0.03285805209678371, 'z': 0.7475050366351096, 'yaw': 0.04490025766798665, 'velocity': 0.005819697591126033, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5935137271881104, 'x': -2.0755909552410414, 'y': -0.03281864801211941, 'z': 0.7474451425238468, 'yaw': 0.04393977460131106, 'velocity': 0.0125535460674754, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6034839153289795, 'x': -2.075588381483889, 'y': -0.03282564668557446, 'z': 0.7474471644163445, 'yaw': 0.04447709227180887, 'velocity': 0.001292771627663849, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6174225807189941, 'x': -2.075595298308541, 'y': -0.03279702826533483, 'z': 0.7474690498665673, 'yaw': 0.04490963897331156, 'velocity': 0.0026319268130199944, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6234064102172852, 'x': -2.075610717387218, 'y': -0.03292082503422316, 'z': 0.747381477443589, 'yaw': 0.04408114600216975, 'velocity': 0.02547223509331052, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.637369155883789, 'x': -2.0755724504250925, 'y': -0.032858266558532224, 'z': 0.7474933182789122, 'yaw': 0.04534837939795597, 'velocity': 0.009578320745780647, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
