{'time': 1.6873445510864258, 'x': -2.0285442900034427, 'y': -0.036352102686583926, 'z': 0.7476487230548028, 'yaw': -0.020270115872390804, 'velocity': 0.003988391228973097, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6983554363250732, 'x': -2.0285548919146486, 'y': -0.036377397429846824, 'z': 0.7476424329361377, 'yaw': -0.020939829021171086, 'velocity': 0.0028099935405628317, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7083289623260498, 'x': -2.0285225600255465, 'y': -0.036253024639562675, 'z': 0.7477950170646096, 'yaw': -0.018306021204439027, 'velocity': 0.022225933187143623, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7183032035827637, 'x': -2.0285247141132996, 'y': -0.03628373346646357, 'z': 0.7477893806426643, 'yaw': -0.018559195479596724, 'velocity': 0.0034864557042133225, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7272777557373047, 'x': -2.0285092096819617, 'y': -0.03625496431764892, 'z': 0.7477872894483886, 'yaw': -0.018421821262811555, 'velocity': 0.0036489722378785137, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7372512817382812, 'x': -2.0285456812966927, 'y': -0.03634906429188696, 'z': 0.7475960820129103, 'yaw': -0.02012486372762634, 'velocity': 0.02409170714185258, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7482256889343262, 'x': -2.02850078750622, 'y': -0.036239698905961515, 'z': 0.7478099642789106, 'yaw': -0.018831015663026918, 'velocity': 0.024495899267410304, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.758678674697876, 'x': -2.0285090114520417, 'y': -0.03625535948471796, 'z': 0.7477852558584734, 'yaw': -0.018494434325641684, 'velocity': 0.00358479840619549, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7682852745056152, 'x': -2.0285592387144393, 'y': -0.03634757049610725, 'z': 0.7476281841873003, 'yaw': -0.020175462289404145, 'velocity': 0.019667407847008402, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.778304100036621, 'x': -2.0285683172472595, 'y': -0.036378620239141374, 'z': 0.7476427770556894, 'yaw': -0.02099568375790284, 'velocity': 0.003949664443740135, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7880041599273682, 'x': -2.0285277622444036, 'y': -0.03628871677213745, 'z': 0.7477808900477632, 'yaw': -0.018921837775616623, 'velocity': 0.01942444966499644, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7989885807037354, 'x': -2.028537219501299, 'y': -0.03632478587637334, 'z': 0.7476430998263287, 'yaw': -0.019946895299611356, 'velocity': 0.014309121053045038, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8079862594604492, 'x': -2.0285572563776375, 'y': -0.036330213511058015, 'z': 0.7476270557875503, 'yaw': -0.019972613087184676, 'velocity': 0.002915903647536182, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8179349899291992, 'x': -2.028545104771499, 'y': -0.03635414807631373, 'z': 0.7476366563687612, 'yaw': -0.02030526951928291, 'velocity': 0.0031769398685554356, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8279087543487549, 'x': -2.0285457484691127, 'y': -0.03630177162205181, 'z': 0.7478062468049839, 'yaw': -0.01872687778475246, 'velocity': 0.017796231232898273, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
