{'time': 1.3858637809753418, 'x': -2.0100654048230275, 'y': -0.027136466562089557, 'z': 0.7469000929820319, 'yaw': 0.0069952767689518535, 'velocity': 0.002289429126909288, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.395833969116211, 'x': -2.0100572019101453, 'y': -0.027198371352400167, 'z': 0.7468778986793962, 'yaw': 0.006168681412715684, 'velocity': 0.006647091608239142, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4048480987548828, 'x': -2.0100541996936006, 'y': -0.027216874880564165, 'z': 0.746860151032984, 'yaw': 0.0061596139241494995, 'velocity': 0.003221919160816175, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4158062934875488, 'x': -2.0100753993450944, 'y': -0.02715952880741442, 'z': 0.7468817361940372, 'yaw': 0.006644768274407391, 'velocity': 0.006498176201302264, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4257802963256836, 'x': -2.0101182137450526, 'y': -0.02721779907363293, 'z': 0.7469114667048349, 'yaw': 0.004700958218426444, 'velocity': 0.007838561995226182, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.435807228088379, 'x': -2.0100639554746063, 'y': -0.027197793039348325, 'z': 0.7468853139757463, 'yaw': 0.006198840746648111, 'velocity': 0.007029586470024969, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4467809200286865, 'x': -2.010113085375976, 'y': -0.02718087363000653, 'z': 0.7468650978218289, 'yaw': 0.005814030998052916, 'velocity': 0.005575582866118945, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4557867050170898, 'x': -2.0100656167391184, 'y': -0.027171272061144384, 'z': 0.7469057674536955, 'yaw': 0.006730049257678794, 'velocity': 0.007022313620015625, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4655721187591553, 'x': -2.010107550024092, 'y': -0.027149726423636132, 'z': 0.7469109846549095, 'yaw': 0.0057102465269700045, 'velocity': 0.005397779838444454, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4755465984344482, 'x': -2.0100489595082567, 'y': -0.02715052042023079, 'z': 0.7469107518203171, 'yaw': 0.0065721683029316075, 'velocity': 0.006528127373900199, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
